id,age,gender,pref_name,city_name,district_name
B00001,62,1,東京都,世田谷区,喜多見７丁目
B00002,34,1,東京都,世田谷区,喜多見７丁目
B00003,53,0,東京都,世田谷区,喜多見９丁目
B00004,68,1,東京都,世田谷区,喜多見９丁目
B00005,27,0,東京都,世田谷区,喜多見９丁目
B00006,67,0,東京都,世田谷区,喜多見９丁目
B00007,39,0,東京都,世田谷区,喜多見９丁目
B00008,72,1,東京都,世田谷区,喜多見９丁目
B00009,30,1,東京都,世田谷区,喜多見９丁目
B00010,64,0,東京都,世田谷区,喜多見９丁目
B00011,38,0,東京都,世田谷区,喜多見９丁目
B00012,56,0,東京都,世田谷区,喜多見９丁目
B00013,41,0,東京都,世田谷区,喜多見９丁目
B00014,45,0,東京都,世田谷区,喜多見９丁目
B00015,58,1,東京都,世田谷区,喜多見９丁目
B00016,45,1,東京都,世田谷区,喜多見９丁目
B00017,59,1,東京都,世田谷区,成城４丁目
B00018,75,1,東京都,世田谷区,成城４丁目
B00019,41,0,東京都,世田谷区,成城４丁目
B00020,69,1,東京都,世田谷区,成城４丁目
B00021,73,0,東京都,世田谷区,成城４丁目
B00022,71,1,東京都,世田谷区,成城４丁目
B00023,63,0,東京都,世田谷区,成城４丁目
B00024,43,1,東京都,世田谷区,成城４丁目
B00025,20,0,東京都,世田谷区,喜多見８丁目
B00026,31,1,東京都,世田谷区,喜多見８丁目
B00027,24,0,東京都,世田谷区,喜多見８丁目
B00028,69,1,東京都,世田谷区,喜多見８丁目
B00029,62,0,東京都,世田谷区,喜多見８丁目
B00030,65,1,東京都,世田谷区,喜多見８丁目
B00031,63,0,東京都,世田谷区,喜多見８丁目
B00032,74,1,東京都,世田谷区,喜多見８丁目
B00033,27,0,東京都,世田谷区,喜多見８丁目
B00034,52,1,東京都,世田谷区,喜多見８丁目
B00035,49,1,東京都,世田谷区,喜多見８丁目
B00036,53,1,東京都,世田谷区,喜多見８丁目
B00037,73,1,東京都,世田谷区,喜多見８丁目
B00038,18,0,東京都,世田谷区,喜多見８丁目
B00039,54,1,東京都,世田谷区,喜多見８丁目
B00040,26,1,東京都,世田谷区,喜多見８丁目
B00041,15,1,東京都,世田谷区,喜多見８丁目
B00042,56,0,東京都,世田谷区,喜多見８丁目
B00043,26,0,東京都,世田谷区,喜多見８丁目
B00044,31,0,東京都,世田谷区,喜多見１丁目
B00045,18,1,東京都,世田谷区,喜多見１丁目
B00046,17,0,東京都,世田谷区,喜多見１丁目
B00047,34,1,東京都,世田谷区,喜多見１丁目
B00048,27,0,東京都,世田谷区,喜多見１丁目
B00049,16,1,東京都,世田谷区,喜多見２丁目
B00050,26,1,東京都,世田谷区,成城３丁目
B00051,66,0,東京都,世田谷区,駒沢４丁目
B00052,58,1,東京都,世田谷区,駒沢４丁目
B00053,73,0,東京都,世田谷区,駒沢４丁目
B00054,32,0,東京都,世田谷区,駒沢４丁目
B00055,29,1,東京都,世田谷区,駒沢４丁目
B00056,66,1,東京都,世田谷区,駒沢４丁目
B00057,22,1,東京都,世田谷区,駒沢４丁目
B00058,75,1,東京都,世田谷区,駒沢４丁目
B00059,57,0,東京都,世田谷区,駒沢４丁目
B00060,58,0,東京都,世田谷区,駒沢４丁目
B00061,61,0,東京都,世田谷区,駒沢４丁目
B00062,43,1,東京都,世田谷区,駒沢１丁目
B00063,32,0,東京都,世田谷区,駒沢１丁目
B00064,38,0,東京都,世田谷区,駒沢１丁目
B00065,28,0,東京都,世田谷区,駒沢１丁目
B00066,67,0,東京都,世田谷区,駒沢１丁目
B00067,47,0,東京都,世田谷区,駒沢１丁目
B00068,27,0,東京都,世田谷区,駒沢１丁目
B00069,20,0,東京都,世田谷区,駒沢１丁目
B00070,64,1,東京都,世田谷区,駒沢１丁目
B00071,46,0,東京都,世田谷区,駒沢５丁目
B00072,52,0,東京都,世田谷区,駒沢５丁目
B00073,46,1,東京都,世田谷区,駒沢５丁目
B00074,72,1,東京都,世田谷区,駒沢５丁目
B00075,75,0,東京都,世田谷区,駒沢５丁目
B00076,40,0,東京都,世田谷区,上野毛３丁目
B00077,35,0,東京都,世田谷区,駒沢５丁目
B00078,60,1,東京都,世田谷区,駒沢５丁目
B00079,31,0,東京都,世田谷区,駒沢５丁目
B00080,56,0,東京都,世田谷区,駒沢５丁目
B00081,23,1,東京都,世田谷区,駒沢５丁目
B00082,71,1,東京都,世田谷区,上馬２丁目
B00083,59,0,東京都,世田谷区,上馬２丁目
B00084,21,0,東京都,世田谷区,上馬２丁目
B00085,71,1,東京都,世田谷区,上馬２丁目
B00086,37,1,東京都,世田谷区,上馬２丁目
B00087,59,0,東京都,世田谷区,上馬２丁目
B00088,41,0,東京都,世田谷区,上馬２丁目
B00089,34,1,東京都,世田谷区,上馬２丁目
B00090,62,1,東京都,世田谷区,上馬２丁目
B00091,64,0,東京都,世田谷区,上馬２丁目
B00092,33,0,東京都,世田谷区,上馬２丁目
B00093,36,1,東京都,世田谷区,上馬２丁目
B00094,61,1,東京都,世田谷区,上馬２丁目
B00095,49,0,東京都,世田谷区,上馬２丁目
B00096,52,1,東京都,世田谷区,上馬２丁目
B00097,60,0,東京都,世田谷区,上馬２丁目
B00098,53,0,東京都,世田谷区,野沢２丁目
B00099,22,1,東京都,世田谷区,野沢２丁目
B00100,51,1,東京都,世田谷区,野沢２丁目
